index,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,,,32255,[],CHEMBL702324,Compound tested for the in vitro inhibition of TNF-alpha production was determined by using LPS-stimulated human whole blood assay (WBA),F,,,BAO_0000190,BAO_0000218,organism-based format,O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(OCc2ccccc2)cc1,,,CHEMBL1136470,Bioorg Med Chem Lett,2003,,CHEMBL342713,,CHEMBL342713,,0,http://www.openphacts.org/units/Nanomolar,261096,>,1,1,>,,IC50,nM,,50000.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,50.0
1,,,32380,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,CCC(CC)CN1CCN(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203068,,CHEMBL111704,9.8,0,http://www.openphacts.org/units/Nanomolar,208583,=,1,1,=,,IC50,nM,,0.16,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.16
3,,,32385,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,CCOC(=O)N1CCC(S(=O)(=O)CCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL112418,,CHEMBL112418,9.39,0,http://www.openphacts.org/units/Nanomolar,208579,=,1,1,=,,IC50,nM,,0.41,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.41
4,,,32387,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.Oc1nc2cc3cc(OCCCCc4nnnn4C4CCNCC4)ccc3[nH]c-2n1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203045,,CHEMBL110157,8.27,0,http://www.openphacts.org/units/Nanomolar,208561,=,1,1,=,,IC50,nM,,5.33,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,5.33
5,,,32397,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,CCOC(=O)C(Cc1ccc(Cl)cc1)Nc1nc2ccc(OC)cc2s1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL352998,,CHEMBL352998,6.64,0,http://www.openphacts.org/units/Nanomolar,341184,=,1,1,=,,IC50,nM,,230.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.23
6,,,32398,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,CCOC(=O)C(Cc1ccccc1)Nc1nc2cc(CC)ccc2s1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL354415,,CHEMBL354415,7.92,0,http://www.openphacts.org/units/Nanomolar,341178,=,1,1,=,,IC50,nM,,12.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.012
7,,,32400,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)c1ccc2oc(NC(Cc3cccc(Cl)c3)c3ccccn3)nc2c1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL265475,,CHEMBL265475,8.3,0,http://www.openphacts.org/units/Nanomolar,341217,=,1,1,=,,IC50,nM,,5.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.005
8,,,32716,[],CHEMBL844936,Ability to inhibit the release of tumor necrosis factor alpha (TNF-alpha) from whole blood,F,,,BAO_0000190,BAO_0000218,organism-based format,CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,,CHEMBL1135626,J Med Chem,2002,,CHEMBL143482,,CHEMBL143482,4.54,0,http://www.openphacts.org/units/Nanomolar,277035,=,1,1,=,,IC50,nM,,28800.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,28.8
10,,,32720,[],CHEMBL844936,Ability to inhibit the release of tumor necrosis factor alpha (TNF-alpha) from whole blood,F,,,BAO_0000190,BAO_0000218,organism-based format,C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,,,CHEMBL1135626,J Med Chem,2002,,CHEMBL358814,,CHEMBL358814,4.32,0,http://www.openphacts.org/units/Nanomolar,277033,=,1,1,=,,IC50,nM,,47500.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,47.5
12,,,33424,[],CHEMBL763559,Concentration required for maximal in vitro inhibition of aggregation of human platelet rich plasma (hPRP),F,,,BAO_0000190,BAO_0000218,organism-based format,N=C(N)c1ccc(C2=NOC(CC(=O)NCCC(=O)O)C2)cc1,,,CHEMBL1133917,Bioorg Med Chem Lett,2001,,CHEMBL22599,,CHEMBL22599,6.62,0,http://www.openphacts.org/units/Nanomolar,123879,=,1,1,=,,IC50,nM,,240.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.24
