activity_id,assay_chembl_id,assay_description,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,type,units,uo_units,value
34205,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL297008,,CHEMBL297008,7.22,69574,=,1,1,=,,IC50,nM,60.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.06
35476,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,Cc1c(COc2cccc(Cl)c2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL43736,,CHEMBL43736,7.1,69592,=,1,1,=,,IC50,nM,80.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.08
36218,CHEMBL769655,Tested in vitro for inhibition against Prostaglandin G/H synthase 2 in human blood (95% confidence limits),Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,,,CHEMBL1133534,J Med Chem,2000.0,CHEMBL140167,,CHEMBL140167,9.92,273413,=,1,1,=,,IC50,nM,0.12,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,nM,UO_0000065,0.12
41409,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL43737,,CHEMBL43737,7.4,69572,=,1,1,=,,IC50,nM,40.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.04
41413,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,NS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL43511,,CHEMBL43511,7.85,69583,=,1,1,=,,IC50,nM,14.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.014
44632,CHEMBL822751,Inhibitory activity against cell-free canine COX-2,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,,,CHEMBL1134352,J Med Chem,2001.0,CHEMBL1316,CARPROFEN,CHEMBL1316,6.99,311320,=,1,1,=,,IC50,nM,102.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.102
45038,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL40245,,CHEMBL40245,7.7,69598,=,1,1,=,,IC50,nM,20.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.02
46229,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,Cc1c(COc2ccc(Cl)cc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL44152,,CHEMBL44152,7.52,69593,=,1,1,=,,IC50,nM,30.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.03
48729,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL43002,,CHEMBL43002,7.22,69560,=,1,1,=,,IC50,nM,60.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.06
48735,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,Cc1c(C(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL42409,,CHEMBL42409,6.92,69603,=,1,1,=,,IC50,nM,120.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.12
53939,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,Cc1c(S(=O)(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL44244,,CHEMBL44244,7.22,69600,=,1,1,=,,IC50,nM,60.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.06
