activity_id,assay_chembl_id,assay_description,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,type,units,uo_units,value,activity_label
566742,CHEMBL759885,"Inhibitory activity against platelet aggregation, induced by arachidonic acid in human platelet rich plasma",O=C(O)CCc1ccccc1CC1C2CCC(O2)C1c1nc(C(=O)NC2CCCCC2)co1,,,CHEMBL1126688,J Med Chem,1993,CHEMBL31334,,CHEMBL31334,8.52,47521,=,1,1,=,,IC50,nM,3.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,I50,nM,UO_0000065,3.0,0
60838,CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2cccs2)CC1,,,CHEMBL1126868,J Med Chem,1993,CHEMBL1203054,,CHEMBL430512,9.8,208525,=,1,1,=,,IC50,nM,0.16,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,0.16,0
334320,CHEMBL699152,In vitro inhibition of ADP-induced human platelet aggregation.,CCOCCS(=O)(=O)N[C@@H](CNC(=O)c1ccc2c(c1)C(=O)N(CCC1CCNCC1)C2)C(=O)O,,,CHEMBL1129711,Bioorg Med Chem Lett,1996,CHEMBL313176,,CHEMBL313176,8.1,151568,=,1,1,=,,IC50,nM,8.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,8.0,0
385913,CHEMBL700564,Compound was evaluated for GROalpha-mediated calcium mobilization in human polymorphonuclear neutrophils(PMNs),N#Cc1c(Cl)ccc(NC(=O)Nc2ccccc2Br)c1O,,,CHEMBL1149089,J Med Chem,2004,CHEMBL26830,,CHEMBL26830,8.12,36908,=,1,1,=,,IC50,nM,7.5,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,7.5,0
386569,CHEMBL761638,In vitro inhibition of collagen-induced platelet aggregation in human platelet-rich plasma (PRP),CN(C)c1ccc(-c2nnsc2-c2ccc(N(C)C)cc2)cc1,,,CHEMBL1122973,J Med Chem,1985,CHEMBL135031,,CHEMBL135031,,267945,=,1,1,=,,IC50,ug.mL-1,0.01,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,ng ml-1,UO_0000274,10.0,0
257552,CHEMBL841666,Inhibition of alpha-CD3 mAb induced IL-2 production in human whole blood,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)CC(C)(C)c1ccccc1,,,CHEMBL1135159,Bioorg Med Chem Lett,2002,CHEMBL295528,,CHEMBL295528,8.1,75955,=,1,1,=,,IC50,nM,8.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.008,0
58216,CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,Cl.Oc1nc2cc3cc(OCCCc4nnnn4C4CCNCC4)ccc3[nH]c-2n1,,,CHEMBL1126868,J Med Chem,1993,CHEMBL1203046,,CHEMBL111764,7.94,208562,=,1,1,=,,IC50,nM,11.55,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,11.55,0
352596,CHEMBL841401,Inhibitory activity against LPS-stimulated IL-1 beta release from human monocytes,CC(=O)Oc1cc2c(c(C)c1OC(C)=O)CC=C1C(C)(C)C(=O)CC[C@]12C,,,CHEMBL1130726,Bioorg Med Chem Lett,1998,CHEMBL121583,,CHEMBL121583,6.7,230958,=,1,1,=,,IC50,nM,200.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,200.0,1
341158,CHEMBL763819,Inhibition of collagen-induced platelet aggregation at the Conc. of 0.1 uM.,O=C(O)CCNC(=O)C1CCCN(C(=O)CCC2CCNCC2)C1,,,CHEMBL1128350,J Med Chem,1995,CHEMBL289432,,CHEMBL289432,6.85,65640,=,1,1,=,,IC50,nM,140.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.14,1
102280,CHEMBL842875,Inhibition of ADP-induced aggregation of human platelet rich plasma,O=C(O)CCC/C=C\C[C@@H]1[C@@H](NS(=O)(=O)c2ccc(Cl)cc2)CC[C@@H]1O,,,CHEMBL1128160,Bioorg Med Chem Lett,1995,CHEMBL277717,,CHEMBL277717,6.72,25183,=,1,1,=,,IC50,nM,190.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.19,1
