canonical_smiles,standard_value,B01[C-C],B02[C-C],B03[C-C],B04[C-C],B05[C-C]
CCC(CC)CN1CCN(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.16,1.0,1.0,1.0,1.0,1.0
CCOC(=O)N1CCC(S(=O)(=O)CCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1,0.41,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCCc4nnnn4C4CCNCC4)ccc3[nH]c-2n1,5.33,1.0,1.0,1.0,1.0,1.0
CCOC(=O)C(Cc1ccccc1)Nc1nc2cc(CC)ccc2s1,12.0,1.0,1.0,1.0,1.0,1.0
CC(C)c1ccc2oc(NC(Cc3cccc(Cl)c3)c3ccccn3)nc2c1,5.0,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(Cc2ccc(F)cc2)CC1,0.067,1.0,1.0,1.0,1.0,1.0
CC(C)CN1CCC(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.027,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CC2CCCCO2)CC1,0.16,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCC(N2CCCCC2)CC1,9.86,1.0,1.0,1.0,1.0,1.0
CCOC(=O)N1CCC(n2nnnc2CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1,0.42,1.0,1.0,1.0,1.0,1.0
CCC(CC)CN1CCC(n2nnnc2CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.012,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(c2nc3ccccc3s2)CC1,4.88,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCc4nnnn4C4CCN(Cc5ccccc5)CC4)ccc3[nH]c-2n1,0.039,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCc4nnnn4C4CCN(CC5CCCCCC5)CC4)ccc3[nH]c-2n1,0.017,1.0,1.0,1.0,1.0,1.0
CCCC(CCC)CN1CCC(n2nnnc2CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.082,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2ccc(F)cc2)CC1,0.35,1.0,1.0,1.0,1.0,1.0
N#Cc1ccc2oc(NC(CC3CCCCC3)c3ccccc3)nc2c1,15.0,1.0,1.0,1.0,1.0,1.0
O=[N+]([O-])c1ccc2oc(NC(Cc3ccc(F)cc3)c3ccccn3)nc2c1,16.0,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CCC2CCCCC2)CC1,0.072,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(c2ncccn2)CC1,0.32,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCNCC1,14.78,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCCc4nnnn4C4CCN(CC5CCCCC5)CC4)ccc3[nH]c-2n1,0.02,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(CC2CCCCO2)CC1,0.034,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(Cc2ccc(F)cc2)CC1,0.02,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2ccccc2)CC1,0.31,1.0,1.0,1.0,1.0,1.0
COC(=O)[C@H](CC1CCCCC1)Nc1nc2ccccc2o1,5.0,1.0,1.0,1.0,1.0,1.0
COc1ccc(CC(Nc2nc3cc([N+](=O)[O-])ccc3o2)c2ccccn2)cc1,14.0,1.0,1.0,1.0,1.0,1.0
CC(C)CN1CCC(n2nnnc2CCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.009,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCNCC1,8.15,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(c2ccccn2)CC1,0.69,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(Cc2cccc(C(F)(F)F)c2)CC1,0.038,1.0,1.0,1.0,1.0,1.0
CCCC(CCC)CN1CCC(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.23,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCc4nnnn4C4CCN(CC5CCCC5)CC4)ccc3[nH]c-2n1,0.009,1.0,1.0,1.0,1.0,1.0
CCOC(=O)C(Cc1ccccc1)Nc1nc2cc(C(C)C)ccc2o1,0.5,1.0,1.0,1.0,1.0,1.0
COc1ccc2oc(NC(Cc3ccccc3)c3ccccc3)nc2c1,9.0,1.0,1.0,1.0,1.0,1.0
CSCC(Cc1ccccc1)Nc1nc2cc(C(C)C)ccc2o1,13.0,1.0,1.0,1.0,1.0,1.0
CCC(CC)CN1CCC(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.039,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2ccsc2)CC1,0.28,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCNCC1,15.5,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2ccc(F)cc2)CC1,0.28,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CC2CCCCC2)CC1,0.11,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(CC2CCCCC2)CC1,0.03,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCc4nnnn4C4CCN(CC5CCCCO5)CC4)ccc3[nH]c-2n1,0.071,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CCc2ccccc2)CC1,1.04,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(Cc2ccccc2)CC1,0.025,1.0,1.0,1.0,1.0,1.0
COc1ccc2oc(NC(Cc3ccc(F)cc3)c3ccccn3)nc2c1,11.0,1.0,1.0,1.0,1.0,1.0
CC(C)c1ccc2oc(NC(CC3CCCCC3)c3ccccc3)nc2c1,6.0,1.0,1.0,1.0,1.0,1.0
CCC(CC)CN1CCN(C(=O)NCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.042,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(CCc2ccccc2)CC1,0.13,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(N2CCC(Cc3ccccc3)CC2)CC1,0.16,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCc4nnnn4C4CCN(Cc5ccc(F)cc5)CC4)ccc3[nH]c-2n1,0.032,1.0,1.0,1.0,1.0,1.0
Fc1ccc(CC(Nc2nc3cc(C(F)(F)F)ccc3o2)c2ccccn2)cc1,8.0,1.0,1.0,1.0,1.0,1.0
CCCS(=O)(=O)c1cc(C2CC[C@@H](c3cc(OC)c(OC)c(OC)c3)O2)cc(OC)c1OCCS(=O)(=O)c1ccccc1,0.78,1.0,1.0,1.0,1.0,1.0
CCCCNC(=N)c1ccc(C2=NO[C@@H](CC(=O)NC[C@H](NS(=O)(=O)c3ccccc3C)C(=O)O)C2)cc1,16.0,1.0,1.0,1.0,1.0,1.0
CC(C)CN1CCC(n2nnnc2CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.0094,1.0,1.0,1.0,1.0,1.0
CCC(CC)CN1CCC(n2nnnc2CCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.012,1.0,1.0,1.0,1.0,1.0
O=CN1CCN(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1,13.05,1.0,1.0,1.0,1.0,1.0
CCOC(=O)N1CCC(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1,0.65,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCc4nnnn4C4CCNCC4)ccc3[nH]c-2n1,11.55,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CC2CCCCCC2)CC1,0.054,1.0,1.0,1.0,1.0,1.0
Cl.Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2ccc(Cl)cc2)CC1,0.53,1.0,1.0,1.0,1.0,1.0
Cc1ccc2oc(N[C@@H](CC3CCCCC3)c3ccccn3)nc2c1,1.0,1.0,1.0,1.0,1.0,1.0
CCOC(=O)C(Cc1csc(C)n1)Nc1nc2cc(C(C)C)ccc2o1,16.0,1.0,1.0,1.0,1.0,1.0
N/C(=N/Cc1cccc(F)c1)c1ccc(C2=NOC(CC(=O)NCCC(=O)O)C2)cc1,12.0,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2cccs2)CC1,0.16,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CC2CCCC2)CC1,0.094,1.0,1.0,1.0,1.0,1.0
COCC(Cc1ccc(F)cc1)Nc1nc2cc(C(C)C)ccc2o1,17.0,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CCC2CCCCC2)CC1,2.04,1.0,1.0,1.0,1.0,1.0
CCCC(CCC)CN1CCN(C(=O)NCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.13,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(c2nc3ccccc3o2)CC1,2.41,1.0,1.0,1.0,1.0,1.0
Cc1ccc2oc(NC(CC3CCCCC3)c3ccccn3)nc2c1,4.0,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CCc2ccccc2)CC1,0.3,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2cccc(C(F)(F)F)c2)CC1,0.32,1.0,1.0,1.0,1.0,1.0
CC(C)c1ccc2oc(NC(Cc3ccc(F)cc3)c3ccccn3)nc2c1,12.0,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(CCC2CCCCC2)CC1,0.048,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2ccccc2)CC1,0.13,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(CC2CCCCC2)CC1,0.03,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCCc4nnnn4C4CCN(Cc5ccc(F)cc5)CC4)ccc3[nH]c-2n1,0.051,1.0,1.0,1.0,1.0,1.0
COc1ccc(CN2CCN(S(=O)(=O)CCCOc3ccc4[nH]c5nc(O)nc-5cc4c3)CC2)cc1.Cl,0.46,1.0,1.0,1.0,1.0,1.0
CCOC(=O)N1CCC(n2nnnc2CCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1,0.1,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCc4nnnn4C4CCN(CCc5ccccc5)CC4)ccc3[nH]c-2n1,0.083,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCc4nnnn4C4CCN(CC5CCCCC5)CC4)ccc3[nH]c-2n1,0.016,1.0,1.0,1.0,1.0,1.0
Cl.O=S(=O)(CCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(Cc2ccccc2)CC1,0.042,1.0,1.0,1.0,1.0,1.0
CC(C)CN1CCN(C(=O)NCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.18,1.0,1.0,1.0,1.0,1.0
CCC(CC)CN1CCC(S(=O)(=O)CCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,0.021,1.0,1.0,1.0,1.0,1.0
Cl.Oc1nc2cc3cc(OCCCCc4nnnn4C4CCN(Cc5ccccc5)CC4)ccc3[nH]c-2n1,0.031,1.0,1.0,1.0,1.0,1.0
Cl.Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2ccc(Cl)cc2)CC1,0.29,1.0,1.0,1.0,1.0,1.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CC2CCCCC2)CC1,0.072,1.0,1.0,1.0,1.0,1.0
CCCCS(=O)(=O)N[C@@H](CNC(=O)c1cc2n(n1)CCN(CCC1CCNCC1)C2=O)C(=O)O,9.0,1.0,1.0,1.0,1.0,1.0
C=CCCS(=O)(=O)N[C@@H](CNC(=O)c1cc2n(n1)CCN(CCC1CCNCC1)C2=O)C(=O)O,11.0,1.0,1.0,1.0,1.0,1.0
CS(=O)(=O)N[C@@H](CNC(=O)c1cc2n(n1)CCN(CCC1CCNCC1)C2=O)C(=O)O,15.0,1.0,1.0,1.0,1.0,1.0
