activity_id,assay_chembl_id,assay_description,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,type,units,uo_units,value,activity_label
167332,CHEMBL702317,Ability to inhibit lipopolysaccharide (LPS) induced PGE-2 production was determined by human whole blood assay.,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1,,,CHEMBL1133620,J Med Chem,2000,CHEMBL325755,,CHEMBL325755,6.7,203200,=,1,1,=,,IC50,nM,200.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.2,1
657170,CHEMBL767676,Test inhibition of LTB4 production in human peripheral blood polymorphonuclear leukocytes (HPMN),COC(=O)c1cc(-c2ccccc2)c2ccc(OCc3cccc(C4(O)CCOCC4)c3)cc2c1,,,CHEMBL1129067,J Med Chem,1996,CHEMBL414244,,CHEMBL414244,8.52,245884,=,1,1,=,,IC50,nM,3.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,3.0,0
122016,CHEMBL767673,Compound was tested for in vitro inhibition against human PMNL,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,,,CHEMBL1129361,J Med Chem,1996,CHEMBL29097,,CHEMBL29097,8.52,162523,=,1,1,=,,IC50,nM,3.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,3.0,0
1128781,CHEMBL761040,Effect on production of LTB4 in human polymorphonuclear leukocytes,CC1Cc2c(OCc3ccc(-c4ccccc4)cn3)ccc3c2c(c(CCOC(C)C(=O)NS(C)(=O)=O)n3Cc2ccc(Cl)cc2)S1,,,CHEMBL1127635,J Med Chem,1994,CHEMBL277746,,CHEMBL277746,8.35,18633,=,1,1,=,,IC50,nM,4.5,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,4.5,0
1270422,CHEMBL701919,Inhibition of LPS-induced TNF-alpha production in human whole blood,CCOc1cc(C2(C#N)CCN(CC(=O)NO)CC2)ccc1OC,,,CHEMBL1146692,Bioorg Med Chem Lett,2004,CHEMBL65115,,CHEMBL65115,8.3,114063,=,1,1,=,,IC50,nM,5.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.005,0
51890,CHEMBL763559,Concentration required for maximal in vitro inhibition of aggregation of human platelet rich plasma (hPRP),CCCCOC(=O)N[C@@H](CNC(=O)C[C@H]1CC(c2ccc(C(=N)NCC)cc2)=NO1)C(=O)O,,,CHEMBL1133917,Bioorg Med Chem Lett,2001,CHEMBL70890,,CHEMBL70890,7.09,123890,=,1,1,=,,IC50,nM,82.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.082,1
604096,CHEMBL700861,Ability to block GRO-alpha driven human neutrophil chemotaxis,CCN(CC)CCCCNc1nc2cc(Cl)c(Cl)cc2nc1-c1ccc(-c2cccs2)s1,,,CHEMBL1133879,Bioorg Med Chem Lett,2001,CHEMBL39740,,CHEMBL39740,6.77,101434,=,1,1,=,,IC50,nM,170.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,170.0,1
727446,CHEMBL700481,"Inhibitory concentration required for the inhibition of U-46,619 induced aggregation of human platelets.",O=C(O)CCC/C=C\c1c(Cc2cccnc2)ccc2c1CCC(NS(=O)(=O)c1ccc(Cl)cc1)C2,,,CHEMBL1130823,Bioorg Med Chem Lett,1998,CHEMBL31854,,CHEMBL31854,6.8,43970,=,1,1,=,,IC50,nM,160.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.16,1
1401482,CHEMBL834299,In vitro metabolic stability of compound was tested in human liver microsomes,CO[C@H]1CC[C@@H](C(=O)c2ccc3nc4c(cc3c2)CCCO4)CC1,,,CHEMBL1144351,J Med Chem,2005,CHEMBL174588,,CHEMBL174588,7.11,360272,=,1,1,=,,IC50,nM,77.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,77.0,1
1120271,CHEMBL615338,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,CCCNc1nc(N)nc2c1ncn2C1CC(O)C(CO)S1,,,CHEMBL1129667,J Med Chem,1996,CHEMBL149576,,CHEMBL149576,7.21,295252,=,1,1,=,,IC50,nM,61.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.061,1
299866,CHEMBL696392,Inhibition of ADP-induced platelet aggregation in human gel-filtered platelets,O=C(NC[C@H](NS(=O)(=O)c1ccccc1)C(=O)O)c1cc2cc(OCCC3CCNCC3)ccc2[nH]1,,,CHEMBL1151560,Bioorg Med Chem Lett,1997,CHEMBL57040,,CHEMBL57040,8.1,174767,=,1,1,=,,IC50,nM,8.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,8.0,0
825428,CHEMBL700452,Tested for the inhibition of 20-HETE production from arachidonic acid (AA) by human renal microsomes,CCCOc1ccc(N/C=N/O)cc1,,,CHEMBL1133849,Bioorg Med Chem Lett,2001,CHEMBL317798,,CHEMBL317798,8.46,189374,=,1,1,=,,IC50,nM,3.5,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,3.5,0
1067454,CHEMBL697025,Concentration to achieve half-maximal inhibition of acid-induced swelling in human platelets using platelet swelling assay,Cc1cc2c(cc1C(=O)N=C(N)N)S(=O)(=O)CC2(C)O,,,CHEMBL1131104,J Med Chem,1998,CHEMBL122142,,CHEMBL122142,6.94,234835,=,1,1,=,,IC50,nM,115.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,115.0,1
535900,CHEMBL696393,The compound was tested for inhibition of human platelet aggregation induced by ADP,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,,,CHEMBL1127169,Bioorg Med Chem Lett,1993,CHEMBL495,ALPROSTADIL,CHEMBL495,,176961,=,1,1,=,,IC50,ug.mL-1,0.0136,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,ng ml-1,UO_0000274,13.6,0
33537,CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,Cl.O=S(=O)(CCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(Cc2ccc(F)cc2)CC1,,,CHEMBL1126868,J Med Chem,1993,CHEMBL1203030,,CHEMBL320999,10.17,208542,=,1,1,=,,IC50,nM,0.067,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,0.067,0
289905,CHEMBL698689,In vitro inhibition of histamine release from human basophils,NS(=O)(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,,,CHEMBL1126800,J Med Chem,1993,CHEMBL91386,,CHEMBL91386,6.7,168354,=,1,1,=,,IC50,nM,200.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.2,1
