canonical_smiles,MW,AMW
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1,367.38,9.92918918918918
COC(=O)c1cc(-c2ccccc2)c2ccc(OCc3cccc(C4(O)CCOCC4)c3)cc2c1,468.58,7.43777777777777
CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,472.14,7.15363636363636
CC1Cc2c(OCc3ccc(-c4ccccc4)cn3)ccc3c2c(c(CCOC(C)C(=O)NS(C)(=O)=O)n3Cc2ccc(Cl)cc2)S1,690.34,8.31734939759036
CCOc1cc(C2(C#N)CCN(CC(=O)NO)CC2)ccc1OC,333.43,7.09425531914893
CCCCOC(=O)N[C@@H](CNC(=O)C[C@H]1CC(c2ccc(C(=N)NCC)cc2)=NO1)C(=O)O,461.58,7.21218749999999
CCN(CC)CCCCNc1nc2cc(Cl)c(Cl)cc2nc1-c1ccc(-c2cccs2)s1,505.58,8.71689655172413
O=C(O)CCC/C=C\c1c(Cc2cccnc2)ccc2c1CCC(NS(=O)(=O)c1ccc(Cl)cc1)C2,525.11,8.07861538461538
CO[C@H]1CC[C@@H](C(=O)c2ccc3nc4c(cc3c2)CCCO4)CC1,325.44,6.92425531914893
CCCNc1nc(N)nc2c1ncn2C1CC(O)C(CO)S1,324.46,7.72523809523809
O=C(NC[C@H](NS(=O)(=O)c1ccccc1)C(=O)O)c1cc2cc(OCCC3CCNCC3)ccc2[nH]1,514.66,7.79787878787878
CCCOc1ccc(N/C=N/O)cc1,194.26,6.93785714285714
Cc1cc2c(cc1C(=O)N=C(N)N)S(=O)(=O)CC2(C)O,297.37,8.49628571428571
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,354.54,6.00915254237288
Cl.O=S(=O)(CCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(Cc2ccc(F)cc2)CC1,549.12,8.19582089552238
NS(=O)(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,327.4,9.09444444444444
CCCC(CCC)C(=O)N[C@@H](CC(=O)OC)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1,643.899999999999,7.15444444444444
C/C(=N\OCCSc1nnnn1C)c1ccc(Sc2cc(F)cc(C3CCOCC3)c2)cc1,487.68,8.2657627118644
CCOC(=O)COC1CCN(C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccc(C(=N)N)cc2)CC1,496.62,7.30323529411764
COc1ccc(-c2ccc(C(N)=O)nc2)cc1OC1CCCC1,312.4,7.26511627906976
COc1ccc(-c2ccc(C(N)=O)nc2)cc1O[C@H]1CC2CCC1C2,338.44,7.20085106382978
CCCCC/C=C/C=C1/C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,334.5,6.19444444444444
