activity_id,assay_chembl_id,assay_description,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,type,units,uo_units,value
25173847,CHEMBL5291897,Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,CN(C)CCC=C1c2ccccc2CCc2ccccc21,,,CHEMBL5291721,Nat Commun,2023,CHEMBL629,AMITRIPTYLINE,CHEMBL629,,3939837,>,1,1,>,,AC50,nM,30000.0,CHEMBL4042,Rattus norvegicus,Cyclooxygenase-1,10116,AC50,uM,UO_0000065,30.0
25173848,CHEMBL5291897,Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,,,CHEMBL5291721,Nat Commun,2023,CHEMBL1888176,TROSPIUM,CHEMBL1888176,,3941243,>,1,1,>,,AC50,nM,30000.0,CHEMBL4042,Rattus norvegicus,Cyclooxygenase-1,10116,AC50,uM,UO_0000065,30.0
25173849,CHEMBL5291897,Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,,,CHEMBL5291721,Nat Commun,2023,CHEMBL1112,ARIPIPRAZOLE,CHEMBL1112,,3939868,>,1,1,>,,AC50,nM,30000.0,CHEMBL4042,Rattus norvegicus,Cyclooxygenase-1,10116,AC50,uM,UO_0000065,30.0
25173850,CHEMBL5291897,Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,,,CHEMBL5291721,Nat Commun,2023,CHEMBL121,ROSIGLITAZONE,CHEMBL121,,3941045,>,1,1,>,,AC50,nM,30000.0,CHEMBL4042,Rattus norvegicus,Cyclooxygenase-1,10116,AC50,uM,UO_0000065,30.0
25173851,CHEMBL5291897,Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,,,CHEMBL5291721,Nat Commun,2023,CHEMBL3301612,ENCORAFENIB,CHEMBL3301612,,3941665,>,1,1,>,,AC50,nM,30000.0,CHEMBL4042,Rattus norvegicus,Cyclooxygenase-1,10116,AC50,uM,UO_0000065,30.0
25173852,CHEMBL5291897,Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,,,CHEMBL5291721,Nat Commun,2023,CHEMBL1200438,TIOCONAZOLE,CHEMBL1200438,4.85,3941182,=,1,1,=,,AC50,nM,14000.1,CHEMBL4042,Rattus norvegicus,Cyclooxygenase-1,10116,AC50,uM,UO_0000065,14.0001
25173853,CHEMBL5291897,Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,,,CHEMBL5291721,Nat Commun,2023,CHEMBL1423,PIMOZIDE,CHEMBL1423,,3940915,>,1,1,>,,AC50,nM,30000.0,CHEMBL4042,Rattus norvegicus,Cyclooxygenase-1,10116,AC50,uM,UO_0000065,30.0
25173854,CHEMBL5291897,Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,,,CHEMBL5291721,Nat Commun,2023,CHEMBL407,FLUMAZENIL,CHEMBL407,,3940380,>,1,1,>,,AC50,nM,30000.0,CHEMBL4042,Rattus norvegicus,Cyclooxygenase-1,10116,AC50,uM,UO_0000065,30.0
25173855,CHEMBL5291897,Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,,,CHEMBL5291721,Nat Commun,2023,CHEMBL83,TAMOXIFEN,CHEMBL83,,3941128,>,1,1,>,,AC50,nM,30000.0,CHEMBL4042,Rattus norvegicus,Cyclooxygenase-1,10116,AC50,uM,UO_0000065,30.0
25173856,CHEMBL5291897,Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,,,CHEMBL5291721,Nat Commun,2023,CHEMBL723,CARVEDILOL,CHEMBL723,,3940011,>,1,1,>,,AC50,nM,30000.0,CHEMBL4042,Rattus norvegicus,Cyclooxygenase-1,10116,AC50,uM,UO_0000065,30.0
